period,홍대,연남,이태원,익선,을지로,성수,한남,청담,신사,삼청,서촌,장충,반포,혜화,신촌,강남
2020-08-29,4904.143656691526,3807.3256266435133,2317.1585005227194,3181.399159274094,2112.8603221807375,3547.619339844604,2000.9503326382478,2158.5746006502677,3955.1189892418147,1167.264821966283,1229.0972038091954,769.8075914852776,1638.375289135692,1840.6023645846203,2447.5266409004594,5082.879743124688
2020-08-30,3967.389696590815,3332.0353325529554,1900.0849908633404,2636.0458873745674,1636.509315544628,3075.136698704292,1747.6907982900357,1689.0566683426384,2988.7164005666523,2495.8461562674825,1098.4925339162414,662.4159596633497,1366.6532151474298,1489.0039975996754,1911.09646347307,3462.204926634817
2020-08-31,3417.005293793634,2595.035724393203,1390.8922541813859,2130.0052002975553,1877.2029807423112,2817.8744497778735,1509.5066117085007,1545.2862997649122,2998.7720708230245,831.6143978730973,852.4711563000211,673.4560635196989,1336.4620671075716,1351.9898096507175,1809.8236549620178,3881.7483723333708
2020-09-01,3359.6485187860576,2649.183015102844,1441.522109717357,2267.0992370299064,1975.8971720509144,2738.7940486467996,1478.3520531069241,1711.1760981817242,3215.9848956359438,911.7690612161484,859.5577835964946,737.6904154967514,1452.195091531951,1436.614803032175,1857.9529688081257,4058.237993439828
2020-09-02,3212.7497331661166,2474.711002732516,1499.2225601291907,2281.209789527861,1792.606945085061,2504.5544428120984,1437.146900124577,1718.2139639174256,3081.2304482480527,849.6487220377137,865.6322149686445,717.6172272745109,1317.3424580402761,1628.0326492701954,1679.4776937213421,3637.6900893278344
2020-09-03,3759.10639619876,2960.02598185301,1804.9433592953833,2754.9950692105995,2092.7185780182763,3045.1070794938205,1653.2210841991669,1911.2493926450627,3183.8048694927743,1048.0347338497409,1026.6102975485571,796.9064704182437,1595.1010200069722,1581.686845867382,1884.0244350611674,4203.457568562888
2020-09-04,4735.10330712008,3740.142877059329,2156.201720278661,3233.8184739431326,2441.1694500415147,4391.481460725503,1949.6956728840883,2234.985291111004,4175.351337115815,1563.033882942147,1529.7909754271827,942.437085029487,1896.0058385326365,1896.013254734464,2286.0950325879057,5201.882953656968
2020-09-05,5337.811644344741,4464.107026344538,2573.27522993804,3902.155230077056,2351.5382742498628,4813.911488032823,2258.2307573041426,2344.572163642203,4493.13027110635,1737.3720177010405,1900.3425915642074,762.781900774552,1897.0125004055546,2060.2270821934735,2344.2489180635084,5078.843075875676
2020-09-06,4485.574190778601,4130.201324662488,2264.5137086231607,3406.194595458162,1849.0043021898944,3961.042625387039,2145.6708434150532,1970.566853738453,3323.587152008851,1488.8906609873013,1532.8288190263622,769.8075914852776,1651.4584102245535,1734.8211228577986,2080.5477290892195,3885.778761717298
2020-09-07,3411.972453213537,2776.529421031075,1567.0343275655744,2665.2784197389637,1882.2381208767124,2591.6436519743156,1642.166626750173,1809.704737137463,3220.0062230771027,952.8482997857083,943.5901385346875,726.6503116404022,1459.239983012841,1485.982302017332,1882.0157307270908,4396.087580800306
