,period,홍대,연남,이태원,종로,을지로,성수,한남,청담,신사,삼청,서촌,장충,반포,혜화,신촌,강남
1520,2020-02-29,274335.5396037987,216881.74319145185,403195.2460935694,137334.0806569425,74647.87280607212,170725.1134199094,87545.63590725178,74712.04136811144,160704.86722119778,47380.64001129635,60002.824713160815,41199.11501439003,69610.86569319094,109031.85969532932,115699.41583071834,232967.02960096448
1521,2020-03-01,225751.82154179382,176961.349027916,197061.31006886225,128027.93009835028,59718.269829101126,141996.60212206363,72488.86332985159,60433.746849851195,123632.91051195438,41570.34388624852,56262.101290664636,35046.38411073225,62281.801803100796,84859.30868699543,98844.14761496845,191256.55225256638
1522,2020-03-02,222474.85215886042,153093.01340221337,128673.72185398632,117818.19036578079,76038.07817607839,124340.52514080498,67109.29333379958,60463.90230044828,122789.10377838457,35550.43856872989,71798.26298741803,33297.08498980784,58481.5599850072,77772.62352024978,110612.64078080749,210218.6713624734
1523,2020-03-03,269855.9844937416,171241.35558970048,150185.64356322694,124564.43666910479,86434.3734302368,134634.90689916647,74261.99697259763,65444.71098859781,139968.73258566097,41091.16502770041,62446.398301803536,40535.58465988773,68193.32387309417,80505.24994708652,106278.4549584952,229847.15347439316
1524,2020-03-04,263091.60418612516,179836.35844694005,157680.00792633364,137665.34367320072,91632.50329746817,138225.9635278976,76936.75596558036,74017.75437132601,154224.78109653937,43726.71186600301,73336.80654918695,41289.593870958575,69098.14335359263,86030.41565148454,117114.03328437833,254685.6741003521
1525,2020-03-05,295380.3514085853,181992.6155112081,170362.31272496734,144170.75403877872,107650.07455373326,147024.08140228724,76035.1631391641,78364.63144095005,171072.86405728114,43037.8606986961,44466.66301640743,43672.267475462366,71722.0937489857,91795.75487512686,126414.51161812423,284431.22097542824
1526,2020-03-06,314170.58898743906,231616.08907889907,208014.8779229021,157964.4051694667,130981.32875312776,163153.944749336,97703.67064998437,81473.84520118598,195968.26389173404,52921.30335397886,70953.59074741877,49794.83126439745,76909.76023458029,92216.18906289095,141644.46015050705,318872.0437738547
1527,2020-03-07,365129.2275320649,279802.057937078,268058.8673176472,187268.34509842756,138536.75874519206,213877.7507331558,117629.09652814516,97020.0029564972,234125.07469746147,74964.41447522392,70078.7209041909,44878.68221317572,82157.71322147144,123145.05611992301,159763.8279743972,325899.59020424954
1528,2020-03-08,322979.32118917804,272794.22247820685,243209.67904052883,180732.94384248875,108405.61400097012,218546.12435050632,105547.63556841345,80447.49243130635,203051.10938704808,75263.90126181649,90773.54627020838,38152.91105538395,80770.34075007545,108341.23029841536,131049.73313147594,264136.37586149573
1529,2020-03-09,281731.2445366642,205741.15907778477,179251.60089579286,157693.35113764502,114812.65671135443,157797.30955647727,87245.08328256606,74410.17552268013,187709.9248529454,53849.80706684784,49082.25628213149,39510.12763531148,71993.56569118774,89693.84499447951,124036.71647726098,277403.8631027589
1530,2020-03-10,273072.8903533006,195469.06739278117,161562.9638449061,149772.46162852205,114963.75749686267,142774.65468028927,82015.80586076711,81171.97935575467,182706.71195708937,46512.0967720339,44104.665973490984,44215.151858673424,74134.96309568331,90324.43101158238,128401.05137671815,294699.8861499085
1531,2020-03-11,303768.4197367642,211012.00967932888,176127.07534260748,283251.69045738183,118681.0357306611,172730.11518195126,91753.11246228832,80839.9135826605,207662.4441139559,52621.8165673863,58886.63598118288,41440.39571317275,77241.5186780789,109572.38064271554,122110.36110285444,328262.2185051041
1532,2020-03-12,306444.09625613573,205980.74319603678,169664.41842067157,161698.83902867645,119678.35774652855,169318.58225065836,90611.07103135939,81745.51111895443,206969.18625967985,59540.245360970635,55628.58775576952,37851.30737095561,74134.96309568331,99392.93929935322,125481.48300806587,311299.3769589609
1533,2020-03-13,340055.7754624078,238833.4832561896,197122.7109308263,170462.99512548273,130739.54618449717,197628.1466531516,93616.40213529395,91797.68380117632,231412.51656614098,67866.29360968404,58735.797643370584,42013.43596730675,88491.44958496076,117079.49999722528,146670.93704612806,364611.24548586464
1534,2020-03-14,367835.15502306295,291900.901138702,276159.45709253993,211964.3664864197,125571.6080586109,257509.11790623757,126825.46694810886,108339.99439870428,254559.82964767047,94102.34597580104,188364.94050603345,43430.9755328799,93799.74126925347,131432.8699410633,160335.75027933114,354887.8892536088
1535,2020-03-15,297214.26176095806,251142.03994633525,220727.45075208147,180522.09879510355,101696.36971956934,206456.21427777925,101490.41906380955,82862.41919475686,192472.09038588722,76701.50095374881,108059.44765341752,37610.02667217289,76125.56595277994,108371.2519883209,134089.67026850305,262652.2380038719
1536,2020-03-16,274996.895990735,202806.3310142488,162746.87623967798,159982.20136109155,109191.38070924777,160221.25821387165,84540.27227949678,79572.0948226753,163537.94903397537,56245.76447587638,61782.72458326249,34805.10341194953,69550.52699578936,91105.12547821293,123193.9075584325,291246.82852233073
1537,2020-03-17,290149.34462653036,205112.25076737325,158134.89318539135,162361.47866305025,109614.49132442738,165278.68724433324,86523.80251666895,85790.52234314715,168541.16192983137,57413.7945017314,53516.85102639733,38454.51473981229,70756.98776719067,93056.92690933257,129906.00229171048,308361.08192207216
1538,2020-03-18,325534.8706618007,217211.1713540484,182346.7232193053,172119.42380863114,127928.90818344385,187124.29144711388,87816.10399803052,86696.16435650687,181169.6473692435,62625.05393730608,61269.889202533755,35227.35306766911,72687.25192688574,104767.86602513702,124638.67408923742,346557.9746129983
1539,2020-03-19,300942.3651990174,212150.0342410259,159105.1997645981,161518.21207536693,114691.74766719129,162286.1012083929,92865.0693593103,86816.87511302676,170711.1520495397,56036.09216711758,50138.12464681758,37489.38070088165,74285.75764308221,101494.84918000056,124127.04993859329,328292.576298914
1540,2020-03-20,360048.37955844594,261503.89829063223,210108.5608357894,206603.4948344224,139654.98980522266,216182.0169255913,105247.08294372773,95510.67372934063,209048.81885913786,70352.12861283436,74090.99823824843,41772.155268524024,97117.43009644955,116779.15256908337,160666.82127741305,396265.1851010006
1541,2020-03-21,401446.83422933496,324364.3170066954,256013.0559613452,244822.2269231382,138234.5571741756,284053.1037446032,127997.5278653039,106075.97831943656,241238.08635398236,96168.89947772177,100909.76282853029,36343.28894881391,87013.56906746242,147557.91117658775,160275.56589514375,380241.3610279824
