Date,place,trend,subway,land
2018-12,신사,9557.163263326294,175475.1935483871,148886
2018-12,신촌,7272.103009024116,141690.09677419355,28225
2018-12,연남,9816.267466043611,9892.90322580645,73188
2018-12,을지로,5202.883525256003,269641.1612903226,23564
2018-12,이태원,10906.65672404024,52211.45161290323,124047
2018-12,익선,13452.696881775184,178651.83870967742,25888
2018-12,장충,1397.969677423958,100730.67741935483,86108
2018-12,청담,3481.281354166065,82037.25806451614,173323
2018-12,한남,3456.576971988805,28086.354838709678,91824
2018-12,혜화,9728.973043815038,94201.70967741935,67846
2018-12,홍대,18914.372431885266,202992.61290322582,121360
2019-01,강남,17431.45008391556,216709.90322580645,139117
2019-01,반포,3508.703272121997,112285.70967741935,138720
2019-01,삼청,3454.09328989927,45630.32258064516,93222
2019-01,서촌,2946.1568214562253,46943.41935483871,80083
2019-01,성수,4206.227562377532,73696.7741935484,113492
2019-01,신사,8993.526999728902,174492.96774193548,148886
2019-01,신촌,7018.264521652646,130731.03225806452,28225
2019-01,연남,9278.745123506058,9717.41935483871,76701
2019-01,을지로,5350.079952251634,260494.87096774194,23587
2019-01,이태원,9492.888737782625,44519.51612903226,124209
2019-01,익선,16963.01403660087,185056.09677419355,25888
2019-01,장충,1316.5112566335144,98603.19354838709,86122
2019-01,청담,3020.9417342226866,85898.19354838709,173440
2019-01,한남,3240.923938170076,27978.387096774193,92008
2019-01,혜화,8655.71777026,83082.67741935483,68188
2019-01,홍대,17715.161728400486,191006.83870967742,121360
2019-02,강남,17572.322606328682,197329.7857142857,138581
2019-02,반포,3418.864625116146,104511.60714285714,138753
2019-02,삼청,3673.4896055529484,43760.17857142857,93222
2019-02,서촌,2501.8745099632624,44267.28571428572,80083
2019-02,성수,4468.3098979740225,67866.67857142857,113475
2019-02,신사,8916.800257466219,161975.67857142858,149025
2019-02,신촌,6676.053789215593,125158.67857142857,28225
2019-02,연남,9267.168833953228,9285.92857142857,76701
2019-02,을지로,5383.398498296468,238761.5,23587
2019-02,이태원,9862.251918207043,44354.857142857145,122212
2019-02,익선,16156.133252859141,174559.2857142857,25888
2019-02,장충,1230.4520121976545,92161.17857142857,85588
2019-02,청담,2848.0942964572373,76371.39285714286,173617
2019-02,한남,3366.6353812168973,26866.928571428572,92510
2019-02,혜화,8379.362357795886,76896.75,68469
2019-02,홍대,17855.80306920908,192678.85714285713,121360
2019-03,강남,13967.092457092262,200682.38709677418,138219
2019-03,반포,3295.059880150763,114039.70967741935,138749
2019-03,삼청,3464.0806182620177,50779.967741935485,93519
2019-03,서촌,2307.733991069066,51032.06451612903,83750
2019-03,성수,5005.591848250327,75274.80645161291,113491
2019-03,신사,7837.934344200052,172357.29032258064,150169
2019-03,신촌,6521.423180289182,150774.8064516129,28225
2019-03,연남,8012.019323525801,10661.677419354839,76701
2019-03,을지로,5346.863852612579,266914.8064516129,23587
2019-03,이태원,8179.33576831812,48414.354838709674,122212
2019-03,익선,12105.098580172347,181620.51612903227,25888
2019-03,장충,1220.0303280283242,103141.29032258065,85409
2019-03,청담,2963.6345526197606,82641.87096774194,173862
2019-03,한남,3579.1218728795848,29554.645161290322,93004
2019-03,혜화,7477.200268983261,84960.6129032258,70293
2019-03,홍대,14498.613343670784,201324.29032258064,121360
2019-04,강남,11906.718407010832,201840.26666666666,137398
2019-04,반포,3137.602621904653,118807.0,138930
2019-04,삼청,3842.794516799122,55144.4,93519
2019-04,서촌,2388.7756836637113,55562.4,83750
2019-04,성수,5829.148392185281,82920.36666666667,113910
2019-04,신사,7005.447926952259,176152.8,149319
2019-04,신촌,5358.155265345225,146350.23333333334,28225
2019-04,연남,7307.250898282303,11109.6,74462
2019-04,을지로,4985.296113578766,280143.93333333335,23587
2019-04,이태원,8067.37168319418,46588.6,122576
2019-04,익선,10709.134805515385,183006.93333333332,27754
2019-04,장충,1203.121365845377,106484.8,84812
2019-04,청담,3108.536118545607,87321.5,173916
2019-04,한남,3168.7249529701758,30564.433333333334,93947
2019-04,혜화,6093.268702530343,85434.86666666667,70717
2019-04,홍대,12190.840891403055,194857.13333333333,121947
2019-05,강남,13389.835674706379,201111.38709677418,137577
2019-05,반포,3358.7534634348494,118230.12903225806,139449
2019-05,삼청,4196.050455670448,54238.8064516129,93519
2019-05,서촌,2934.95473014182,57220.58064516129,83750
2019-05,성수,6666.512905244743,81473.29032258065,114520
2019-05,신사,7805.300373076544,175648.16129032258,149620
2019-05,신촌,6150.5954540445255,148931.35483870967,28201
2019-05,연남,8283.756582304572,11140.645161290322,74989
2019-05,을지로,5574.919573415865,274795.6451612903,23587
2019-05,이태원,8103.839470849928,48188.87096774193,122576
